resource_id,department_id,avg_gpa,current_gpa,is_poor
00000000-0000-0000-0002-000000000001,6010,,4.04,f
00000000-0000-0000-0002-000000000001,H040,,3.91,f
00000000-0000-0000-0002-000000000001,40A0,,,f
00000000-0000-0000-0002-000000000001,2080,3.93,4.24,f
00000000-0000-0000-0002-000000000001,4040,3.72,3.88,f
00000000-0000-0000-0002-000000000001,4060,,,f
00000000-0000-0000-0002-000000000001,3022,,4.18,f
00000000-0000-0000-0002-000000000001,2070,3.92,,f
00000000-0000-0000-0002-000000000001,4010,,,f
00000000-0000-0000-0002-000000000001,1070,,,f
00000000-0000-0000-0002-000000000001,7060,4.27,3.81,f
00000000-0000-0000-0002-000000000001,2030,,3.79,f
00000000-0000-0000-0002-000000000001,3100,4.21,,f
00000000-0000-0000-0002-000000000001,2040,4.25,4.23,f
00000000-0000-0000-0002-000000000001,4031,4.06,,f
00000000-0000-0000-0002-000000000001,7030,,4.2,f
00000000-0000-0000-0002-000000000001,H050,,3.76,f
00000000-0000-0000-0002-000000000001,3021,,,f
00000000-0000-0000-0002-000000000001,30A0,,3.83,f
00000000-0000-0000-0002-000000000001,5050,,,f
00000000-0000-0000-0002-000000000001,7040,,4.09,f
00000000-0000-0000-0002-000000000001,60A0,3.78,4.28,f
00000000-0000-0000-0002-000000000001,O010,,,f
00000000-0000-0000-0002-000000000001,1090,,,f
00000000-0000-0000-0002-000000000001,5080,,3.86,f
00000000-0000-0000-0002-000000000001,3030,,,f
00000000-0000-0000-0002-000000000001,1060,,,f
00000000-0000-0000-0002-000000000001,5010,,3.74,f
00000000-0000-0000-0002-000000000001,A013,,,f
00000000-0000-0000-0002-000000000001,B020,3.88,3.81,f
00000000-0000-0000-0002-000000000001,3020,3.77,,f
00000000-0000-0000-0002-000000000001,7012,4.09,,f
00000000-0000-0000-0002-000000000001,1050,,4.14,f
00000000-0000-0000-0002-000000000001,1030,,4.16,f
00000000-0000-0000-0002-000000000001,4080,4.15,4.16,f
00000000-0000-0000-0002-000000000001,5070,,,f
00000000-0000-0000-0002-000000000001,B010,4.29,,f
00000000-0000-0000-0002-000000000001,4120,3.99,,f
00000000-0000-0000-0002-000000000001,2010,4.28,,f
00000000-0000-0000-0002-000000000001,8010,,,f
00000000-0000-0000-0002-000000000001,A012,,4.19,f
00000000-0000-0000-0002-000000000001,4020,3.94,3.7,f
00000000-0000-0000-0002-000000000001,4081,3.81,,f
00000000-0000-0000-0002-000000000001,2090,4.19,3.81,f
00000000-0000-0000-0002-000000000001,9010,,3.99,f
00000000-0000-0000-0002-000000000001,2020,,,f
00000000-0000-0000-0002-000000000001,6050,3.95,,f
00000000-0000-0000-0002-000000000001,6020,3.83,,f
00000000-0000-0000-0002-000000000001,6110,4.25,,f
00000000-0000-0000-0002-000000000001,1040,,,f
00000000-0000-0000-0002-000000000001,O020,,4.12,f
00000000-0000-0000-0002-000000000001,3023,,3.9,f
00000000-0000-0000-0002-000000000001,6030,3.91,4.05,f
00000000-0000-0000-0002-000000000001,7050,3.84,,f
00000000-0000-0000-0002-000000000001,7020,,4.21,f
00000000-0000-0000-0002-000000000001,H060,4.03,4.26,f
00000000-0000-0000-0002-000000000001,3050,,,f
00000000-0000-0000-0002-000000000001,6150,3.89,4.05,f
00000000-0000-0000-0002-000000000002,2040,,3.94,f
00000000-0000-0000-0002-000000000002,6050,,,f
00000000-0000-0000-0002-000000000002,Z010,3.84,,f
00000000-0000-0000-0002-000000000002,50A0,,,f
00000000-0000-0000-0002-000000000002,30A0,,,f
00000000-0000-0000-0002-000000000002,4040,3.88,3.93,f
00000000-0000-0000-0002-000000000002,O020,,,f
00000000-0000-0000-0002-000000000002,1020,4.16,3.98,f
00000000-0000-0000-0002-000000000002,7010,,,f
00000000-0000-0000-0002-000000000002,B020,4.25,3.81,f
00000000-0000-0000-0002-000000000002,7060,,4.25,f
00000000-0000-0000-0002-000000000002,7012,4.07,,f
00000000-0000-0000-0002-000000000002,1050,4.24,,f
00000000-0000-0000-0002-000000000002,4120,,3.99,f
00000000-0000-0000-0002-000000000002,7020,,4.09,f
00000000-0000-0000-0002-000000000002,H040,4.22,,f
00000000-0000-0000-0002-000000000002,2010,,3.74,f
00000000-0000-0000-0002-000000000002,2020,,,f
00000000-0000-0000-0002-000000000002,5020,,,f
00000000-0000-0000-0002-000000000002,6080,4.13,3.82,f
00000000-0000-0000-0002-000000000002,3050,,,f
00000000-0000-0000-0002-000000000002,1010,4.16,,f
00000000-0000-0000-0002-000000000002,6130,,4.27,f
00000000-0000-0000-0002-000000000002,2070,,4.18,f
00000000-0000-0000-0002-000000000002,3022,4.21,,f
00000000-0000-0000-0002-000000000002,O010,,4.29,f
00000000-0000-0000-0002-000000000002,9010,4.29,3.92,f
00000000-0000-0000-0002-000000000002,5010,,4.09,f
00000000-0000-0000-0002-000000000002,7050,3.96,4.18,f
00000000-0000-0000-0002-000000000002,6020,,,f
00000000-0000-0000-0002-000000000002,9020,3.97,,f
