user_id,semester,gpa
00000000-0000-0000-0000-000000000610,112-1,2.982
00000000-0000-0000-0000-000000000610,112-2,3.555
00000000-0000-0000-0000-000000000610,113-1,3.12
00000000-0000-0000-0000-000000000610,113-2,2.891
00000000-0000-0000-0000-000000000346,110-1,3.03
00000000-0000-0000-0000-000000000346,110-2,2.11
00000000-0000-0000-0000-000000000346,111-1,3.536
00000000-0000-0000-0000-000000000346,111-2,3.3
00000000-0000-0000-0000-000000000346,112-1,1.84
00000000-0000-0000-0000-000000000346,112-2,2.077
00000000-0000-0000-0000-000000000346,113-1,2.858
00000000-0000-0000-0000-000000000346,113-2,2.827
00000000-0000-0000-0000-000000000443,108-1,2.75
00000000-0000-0000-0000-000000000443,108-2,3.61
00000000-0000-0000-0000-000000000443,109-1,0.8
00000000-0000-0000-0000-000000000443,109-2,3.038
00000000-0000-0000-0000-000000000443,110-1,2.09
00000000-0000-0000-0000-000000000443,110-2,3.192
00000000-0000-0000-0000-000000000443,111-1,3.564
00000000-0000-0000-0000-000000000443,111-2,3.2
00000000-0000-0000-0000-000000000443,112-1,3.42
00000000-0000-0000-0000-000000000443,112-2,2.917
00000000-0000-0000-0000-000000000443,113-1,2.733
00000000-0000-0000-0000-000000000443,113-2,2.2
00000000-0000-0000-0000-000000000274,113-1,2.08
00000000-0000-0000-0000-000000000274,113-2,2.291
00000000-0000-0000-0000-000000000450,113-1,0.727
00000000-0000-0000-0000-000000000450,113-2,2.56
00000000-0000-0000-0000-000000000311,108-1,2.182
00000000-0000-0000-0000-000000000311,108-2,2.217
00000000-0000-0000-0000-000000000311,109-1,2.591
00000000-0000-0000-0000-000000000311,109-2,3.045
00000000-0000-0000-0000-000000000311,110-1,2.782
00000000-0000-0000-0000-000000000311,110-2,2.408
00000000-0000-0000-0000-000000000311,111-1,2.6
00000000-0000-0000-0000-000000000311,111-2,1.717
00000000-0000-0000-0000-000000000311,112-1,3.864
00000000-0000-0000-0000-000000000311,112-2,2.825
00000000-0000-0000-0000-000000000311,113-1,2.777
00000000-0000-0000-0000-000000000311,113-2,3.26
00000000-0000-0000-0000-000000000473,113-1,2.9
00000000-0000-0000-0000-000000000473,113-2,2.327
00000000-0000-0000-0000-000000000525,113-1,2.2
00000000-0000-0000-0000-000000000525,113-2,1.86
00000000-0000-0000-0000-000000000327,111-1,2
00000000-0000-0000-0000-000000000327,111-2,2.74
00000000-0000-0000-0000-000000000327,112-1,2.909
00000000-0000-0000-0000-000000000327,112-2,1.79
00000000-0000-0000-0000-000000000327,113-1,3.3
00000000-0000-0000-0000-000000000327,113-2,2.755
00000000-0000-0000-0000-000000000437,107-1,3.192
00000000-0000-0000-0000-000000000437,107-2,2.733
00000000-0000-0000-0000-000000000437,108-1,2.491
00000000-0000-0000-0000-000000000437,108-2,3.88
00000000-0000-0000-0000-000000000437,109-1,3.269
00000000-0000-0000-0000-000000000437,109-2,3.1
00000000-0000-0000-0000-000000000437,110-1,3.146
00000000-0000-0000-0000-000000000437,110-2,3.118
00000000-0000-0000-0000-000000000437,111-1,3.06
00000000-0000-0000-0000-000000000437,111-2,3.873
00000000-0000-0000-0000-000000000437,112-1,3.436
00000000-0000-0000-0000-000000000437,112-2,2.64
00000000-0000-0000-0000-000000000437,113-1,2.262
00000000-0000-0000-0000-000000000437,113-2,3.17
00000000-0000-0000-0000-000000000491,109-1,1.575
00000000-0000-0000-0000-000000000491,109-2,2.282
00000000-0000-0000-0000-000000000491,110-1,3.355
